student_id,age,gender,course,year,daily_study_hours,daily_sleep_hours,screen_time_hours,stress_level,anxiety_score,depression_score,academic_pressure_score,financial_stress_score,social_support_score,physical_activity_hours,sleep_quality,attendance_percentage,cgpa,internet_quality,burnout_level
STU00015,23,Male,AIML,1st Year,5.0,6.9,7.2,High,6,6,7,5,4,1.2,Poor,91.1,6.84,Average,High
STU00016,24,Male,ECE,2nd Year,8.7,5.6,8.2,High,10,9,7,5,7,1.1,Poor,78.8,7.21,Good,High
STU00017,22,Female,CIVIL,2nd Year,4.4,8.4,5.7,Low,6,2,3,2,9,2.5,Good,87.2,8.15,Average,Low
STU00018,19,Female,CSE,2nd Year,6.6,6.6,5.0,Medium,5,7,4,9,9,1.4,Average,86.0,8.21,Poor,Medium
STU00019,24,Male,AIML,3rd Year,4.8,6.5,5.0,High,6,4,5,8,3,0.6,Poor,79.7,6.86,Poor,High
STU00020,21,Male,AIML,2nd Year,1.8,5.6,5.5,High,8,7,7,4,5,0.5,Average,62.6,7.15,Average,High
STU00021,22,Female,AIML,4th Year,4.4,7.2,3.3,Low,5,4,5,5,6,2.0,Poor,74.2,8.05,Good,Low
STU00022,20,Female,AIDS,4th Year,5.2,5.8,6.6,High,7,8,9,8,4,1.0,Poor,78.5,8.14,Good,Low
STU00023,19,Female,Cyber,4th Year,4.8,7.1,5.2,Medium,6,5,6,3,7,1.2,Poor,72.7,7.23,Average,High
STU00024,25,Male,ECE,3rd Year,3.9,5.9,4.7,High,8,7,10,7,6,1.0,Poor,78.7,7.95,Average,High
STU00025,24,Female,AIML,3rd Year,6.6,5.2,4.5,High,10,7,10,9,2,1.0,Poor,64.3,7.02,Poor,Medium
STU00026,23,Male,CSE,3rd Year,6.2,7.5,3.1,Medium,4,3,3,5,6,1.8,Good,78.3,7.82,Average,Low
STU00027,21,Female,AIML,2nd Year,4.4,8.1,2.0,Medium,5,7,4,6,7,1.8,Poor,82.4,7.44,Average,Medium
STU00028,24,Male,AIDS,2nd Year,4.1,8.1,3.7,Low,4,3,1,4,9,1.3,Average,95.0,7.78,Average,Medium
STU00029,22,Female,ECE,3rd Year,3.1,8.6,5.5,Low,6,4,7,5,7,0.6,Average,91.8,7.71,Good,Low
STU00030,21,Male,AIML,1st Year,5.1,8.1,2.0,Low,1,1,2,1,9,1.5,Good,82.8,8.93,Good,Medium
STU00031,21,Female,AIDS,1st Year,7.7,6.9,6.2,High,9,9,7,1,5,0.5,Poor,81.1,7.42,Poor,High
STU00032,19,Female,CSE,4th Year,7.6,7.2,5.4,Medium,7,5,9,4,6,0.6,Average,68.7,7.3,Average,Medium
STU00033,18,Male,AIML,1st Year,3.9,8.3,3.4,Low,7,7,5,6,8,2.5,Average,83.7,8.07,Average,Medium
STU00034,22,Female,AIML,2nd Year,8.6,8.0,4.5,Low,4,5,6,4,7,0.3,Good,90.1,8.21,Poor,High
STU00035,25,Male,CIVIL,3rd Year,4.5,5.4,7.3,Low,7,6,8,6,5,1.5,Poor,78.0,7.6,Poor,High
STU00036,18,Female,ECE,1st Year,2.9,8.1,2.9,Low,4,3,2,5,8,2.4,Good,97.6,8.43,Good,Low
STU00037,24,Male,ECE,4th Year,2.6,6.9,5.5,High,6,8,7,1,6,2.0,Average,87.8,7.25,Poor,High
STU00038,24,Male,CSE,1st Year,3.2,6.2,6.3,Medium,6,3,6,5,4,1.4,Poor,80.8,7.13,Good,Medium
STU00039,20,Male,CSE,4th Year,5.2,6.2,2.5,Low,1,2,3,6,8,2.8,Good,88.0,9.03,Good,Low
STU00040,23,Male,ECE,3rd Year,4.7,5.0,7.1,High,9,6,6,6,6,2.2,Poor,74.6,7.56,Good,High
STU00041,19,Male,AIML,1st Year,3.4,7.4,4.2,Low,2,1,1,1,8,1.9,Poor,77.9,8.6,Good,Low
STU00042,24,Female,CIVIL,1st Year,3.4,5.5,4.8,Medium,7,5,4,6,8,1.8,Poor,72.2,8.45,Average,Medium
STU00043,23,Female,AIDS,2nd Year,2.8,7.1,7.2,Low,5,2,2,6,8,2.6,Good,95.2,8.73,Poor,Low
STU00044,20,Female,Cyber,2nd Year,3.8,6.7,7.8,High,10,8,8,7,5,0.5,Poor,87.7,6.76,Average,High
STU00045,18,Male,AIDS,1st Year,6.5,6.9,2.0,Low,3,3,1,5,9,1.8,Average,78.6,8.22,Good,Low
STU00046,25,Male,CIVIL,4th Year,7.8,7.8,3.2,Low,3,1,2,5,10,1.7,Average,90.0,9.17,Good,Low
STU00047,21,Male,Cyber,1st Year,8.4,5.8,8.5,Medium,8,6,5,4,5,1.7,Average,68.8,8.21,Average,Medium
STU00048,25,Female,ECE,4th Year,6.1,7.3,3.6,Medium,5,5,6,4,7,0.6,Average,76.0,8.13,Average,Medium
STU00049,23,Female,CIVIL,1st Year,3.7,8.1,3.9,Low,5,2,3,1,10,2.8,Good,90.8,7.46,Average,Medium
STU00050,24,Male,AIML,4th Year,3.9,5.2,7.3,High,5,8,6,4,3,1.6,Poor,75.5,7.31,Average,High
STU00051,24,Female,CIVIL,1st Year,5.9,7.2,4.3,Low,1,3,1,1,10,2.5,Average,75.6,8.5,Good,Low
STU00052,19,Male,CSE,2nd Year,4.3,6.2,5.3,Low,5,4,3,5,10,0.6,Poor,100.0,7.57,Average,Medium
STU00053,20,Male,ECE,3rd Year,5.6,7.6,5.6,Low,4,5,6,3,9,1.1,Average,84.2,8.57,Average,High
STU00054,21,Male,AIDS,1st Year,8.7,6.5,6.0,High,10,6,6,6,6,2.0,Poor,69.6,7.69,Average,High
STU00055,21,Male,ECE,4th Year,5.7,6.0,5.3,High,10,9,7,9,5,0.9,Poor,77.2,6.46,Poor,High
STU00056,18,Female,Cyber,2nd Year,9.4,6.1,6.8,High,10,9,6,6,4,0.2,Poor,76.4,7.46,Average,Medium
STU00057,22,Female,ECE,3rd Year,2.9,7.2,4.5,High,6,6,3,5,6,1.7,Average,86.1,7.74,Good,High
STU00058,19,Male,CSE,3rd Year,5.2,8.4,2.4,Low,1,1,1,4,10,2.7,Good,90.2,8.62,Poor,Medium
STU00059,23,Female,CSE,3rd Year,5.7,6.1,7.5,Low,5,5,7,6,4,1.7,Poor,82.8,8.63,Average,Low
STU00060,23,Female,AIML,1st Year,3.6,5.4,6.0,High,10,8,10,9,2,0.9,Poor,82.9,7.77,Average,High
STU00061,25,Female,ECE,1st Year,6.8,6.1,8.5,High,7,8,10,6,4,1.7,Poor,65.9,6.75,Poor,High
STU00062,23,Female,Cyber,1st Year,7.9,6.4,6.0,High,10,6,10,9,6,1.0,Poor,74.4,7.04,Poor,Medium
STU00063,20,Male,AIML,2nd Year,8.7,9.0,3.9,Low,4,2,3,4,7,2.2,Good,94.1,8.41,Average,Low
STU00064,25,Female,CIVIL,1st Year,5.6,6.7,2.4,Low,5,6,4,7,7,1.8,Good,80.0,8.15,Poor,Medium
STU00065,21,Male,AIML,4th Year,2.1,6.0,9.7,High,10,7,8,8,3,0.7,Poor,72.6,7.69,Average,High
STU00066,20,Female,Cyber,2nd Year,5.5,8.0,3.9,Low,4,1,3,6,7,1.8,Good,84.6,9.32,Good,Medium
STU00067,25,Male,AIML,3rd Year,6.0,8.7,2.0,Low,3,1,3,5,4,1.7,Average,83.9,9.29,Good,Medium
STU00068,20,Female,CSE,2nd Year,4.8,5.6,7.3,High,10,5,8,7,3,1.2,Poor,73.8,7.32,Good,High
STU00069,18,Male,AIDS,2nd Year,5.3,8.2,4.7,Low,6,6,3,4,7,1.5,Good,73.9,8.49,Average,Low
STU00070,21,Male,Cyber,2nd Year,3.8,7.3,2.9,Low,4,5,3,4,9,2.3,Good,91.0,8.51,Good,Low
STU00071,24,Female,CSE,2nd Year,5.1,8.2,7.8,High,8,7,9,5,4,0.7,Good,83.6,6.91,Good,Medium
STU00072,19,Female,CIVIL,2nd Year,6.9,6.9,2.3,High,8,6,7,4,6,2.2,Poor,78.5,6.81,Average,Medium
STU00073,21,Male,AIDS,2nd Year,7.4,5.9,3.9,Low,2,4,4,1,6,1.3,Good,91.3,8.32,Average,Low
STU00074,19,Female,AIDS,2nd Year,2.4,7.3,3.8,Low,4,1,5,1,7,2.4,Good,83.2,7.3,Average,Low
STU00075,23,Female,AIDS,4th Year,4.6,6.9,8.2,High,10,10,10,10,3,1.3,Poor,68.4,6.72,Good,High
STU00076,21,Male,CIVIL,1st Year,2.1,6.9,8.1,Medium,4,6,4,5,6,1.6,Poor,85.4,7.44,Average,Medium
STU00077,20,Female,AIML,2nd Year,8.7,6.0,6.1,High,10,8,10,10,5,1.1,Poor,79.1,7.81,Average,High
STU00078,19,Male,ECE,1st Year,6.8,7.0,6.6,High,7,5,3,9,5,0.8,Average,77.1,8.42,Good,High
STU00079,22,Female,ECE,2nd Year,1.3,6.8,8.3,Medium,4,3,5,4,9,1.4,Poor,89.8,7.97,Poor,High
STU00080,23,Male,AIML,3rd Year,4.8,6.9,4.7,Low,5,3,2,3,6,1.8,Poor,74.0,7.68,Good,Low
STU00081,25,Male,AIML,1st Year,4.9,5.2,7.1,High,7,7,8,5,5,1.0,Poor,73.1,6.28,Good,High
STU00082,21,Female,CSE,3rd Year,4.0,7.6,4.9,High,10,8,7,10,7,1.6,Poor,83.1,7.72,Good,High
STU00083,19,Female,ECE,2nd Year,6.4,6.7,6.1,Low,1,1,1,4,9,1.9,Good,98.1,8.69,Good,Low
STU00084,24,Female,AIDS,1st Year,7.0,6.7,4.8,High,8,4,8,5,6,1.1,Poor,86.2,7.61,Average,High
STU00085,23,Female,AIDS,4th Year,5.5,7.3,5.4,Low,5,7,3,3,5,0.6,Average,90.7,8.71,Good,Low
STU00086,23,Female,AIML,2nd Year,3.6,7.4,4.6,Low,3,3,3,1,9,2.2,Good,83.7,7.5,Good,Low
STU00087,18,Female,CSE,4th Year,3.9,5.5,5.5,Medium,7,6,5,3,7,1.7,Average,67.2,7.27,Good,Medium
STU00088,20,Female,Cyber,2nd Year,4.7,6.6,3.4,Low,3,2,5,6,8,2.5,Average,86.0,8.19,Average,Low
STU00089,24,Male,Cyber,4th Year,4.1,7.5,5.1,Medium,7,2,5,9,8,2.2,Good,89.2,7.77,Average,High
STU00090,24,Male,CIVIL,2nd Year,4.8,6.5,6.8,Low,5,3,2,4,8,2.2,Poor,92.0,8.54,Average,Medium
STU00091,21,Male,AIDS,2nd Year,5.9,5.2,7.7,Medium,5,3,4,4,8,2.1,Poor,80.0,8.34,Average,Medium
STU00092,24,Female,CIVIL,3rd Year,2.2,7.2,4.9,Medium,7,6,8,8,8,1.9,Average,74.6,8.3,Average,Medium
STU00093,24,Male,AIDS,2nd Year,3.4,6.6,3.7,Low,3,4,4,3,9,2.3,Good,79.6,8.38,Good,Medium
STU00094,21,Male,CIVIL,2nd Year,5.3,6.5,5.6,High,9,9,8,8,3,0.0,Poor,70.6,7.32,Good,High
STU00095,25,Female,Cyber,4th Year,7.9,6.3,9.1,Medium,7,7,6,4,7,0.7,Poor,64.6,7.57,Good,High
STU00096,20,Male,CSE,3rd Year,7.0,5.6,7.0,High,9,10,9,7,5,0.2,Poor,69.7,7.64,Average,High
STU00097,19,Male,CSE,3rd Year,5.0,6.9,6.5,Medium,7,5,4,3,6,2.3,Poor,83.1,7.87,Average,Medium
STU00098,23,Female,AIML,3rd Year,5.6,6.1,5.6,Low,4,5,2,4,7,1.3,Average,83.7,8.15,Average,Medium
STU00099,23,Female,AIML,4th Year,5.3,5.1,9.7,High,10,9,8,9,1,0.5,Poor,71.4,7.62,Average,High
STU00100,19,Male,CSE,4th Year,6.8,6.9,4.4,Low,3,1,6,9,8,1.7,Average,79.1,8.22,Poor,Medium
STU00101,24,Male,CIVIL,3rd Year,5.7,5.9,3.6,High,7,4,5,9,8,0.9,Poor,78.2,8.14,Average,Low
STU00102,19,Male,CSE,2nd Year,7.5,7.0,8.3,High,7,5,7,6,5,1.5,Poor,74.3,7.33,Average,Medium
STU00103,24,Female,CIVIL,1st Year,2.3,7.2,5.3,Low,2,3,3,2,8,0.8,Average,93.2,8.99,Average,Medium
STU00104,18,Female,AIDS,3rd Year,3.7,5.1,6.4,High,10,5,10,6,5,0.6,Poor,78.8,7.02,Poor,High
STU00105,24,Male,ECE,4th Year,5.6,6.0,7.7,Medium,8,7,7,3,5,1.4,Average,100.0,8.21,Average,Medium
STU00106,24,Female,ECE,2nd Year,6.2,6.2,7.0,High,10,8,10,9,5,0.4,Poor,73.6,7.27,Poor,High
STU00107,24,Male,AIML,1st Year,9.5,5.9,8.0,High,8,8,7,8,4,1.9,Poor,81.5,8.49,Good,High
STU00108,23,Male,ECE,2nd Year,2.1,6.4,6.7,High,8,9,8,5,4,1.1,Poor,73.7,7.81,Average,High
STU00109,21,Female,CSE,2nd Year,4.9,7.4,6.3,Low,5,2,5,3,5,2.2,Average,79.8,7.92,Average,Low
STU00110,23,Male,CIVIL,4th Year,4.6,9.0,5.1,High,5,2,3,4,8,2.0,Good,98.4,9.16,Poor,High
STU00111,20,Male,AIML,1st Year,6.0,6.7,6.7,High,10,10,10,8,3,0.8,Poor,80.5,7.26,Good,High
STU00112,24,Male,AIML,3rd Year,7.7,6.2,3.6,Low,2,3,3,1,8,1.5,Average,74.8,8.9,Average,Medium
STU00113,22,Female,ECE,3rd Year,6.2,7.3,3.4,Low,6,3,1,7,9,2.5,Good,80.2,7.96,Good,Low
STU00114,21,Female,ECE,4th Year,2.3,6.2,6.1,High,6,6,7,2,5,1.5,Poor,78.4,7.81,Average,Medium
STU00115,22,Female,Cyber,1st Year,8.2,6.4,6.1,High,8,7,10,9,5,2.1,Poor,70.6,7.0,Good,Medium
STU00116,22,Male,ECE,4th Year,7.8,5.9,5.9,Low,4,2,5,5,5,1.9,Poor,69.1,7.89,Good,Medium
STU00117,18,Male,CSE,3rd Year,5.7,5.8,6.6,High,6,5,9,10,6,0.9,Poor,78.4,7.61,Average,High
STU00118,19,Female,ECE,3rd Year,1.6,6.8,3.7,Low,1,1,1,3,8,2.4,Good,76.0,8.73,Good,Low
STU00119,19,Male,AIML,1st Year,4.6,6.5,5.0,Low,4,3,4,2,8,1.9,Average,85.3,7.7,Average,Low
STU00120,18,Female,AIML,2nd Year,5.4,7.3,2.8,Low,3,1,1,2,10,2.8,Average,96.3,10.0,Good,Low
STU00121,21,Female,CSE,3rd Year,7.0,6.1,5.5,Medium,7,10,7,4,7,2.0,Poor,85.5,7.08,Average,Medium
STU00122,23,Male,AIML,2nd Year,1.4,6.6,2.0,Low,4,2,3,2,10,2.0,Poor,87.8,8.36,Poor,Low
STU00123,23,Female,AIML,2nd Year,3.3,8.4,3.9,Low,4,3,5,6,9,1.3,Poor,99.8,8.53,Good,Low
STU00124,21,Male,Cyber,3rd Year,7.1,6.9,4.4,Medium,7,6,7,6,7,0.3,Poor,82.3,8.18,Good,High
STU00125,24,Male,CSE,3rd Year,8.0,4.9,6.3,High,8,7,9,8,7,0.5,Poor,84.0,7.51,Average,High
STU00126,22,Female,CSE,1st Year,5.7,6.9,4.1,Low,7,4,3,1,5,1.2,Good,76.8,8.08,Good,Low
STU00127,18,Male,Cyber,2nd Year,7.2,5.1,3.0,Medium,5,7,7,5,4,2.1,Poor,91.6,7.66,Average,Medium
STU00128,24,Female,CSE,1st Year,6.0,7.7,8.6,High,8,6,8,9,3,2.1,Average,79.6,8.83,Average,Medium
STU00129,22,Female,ECE,4th Year,6.7,8.4,4.7,Low,5,2,4,3,8,2.1,Good,95.6,7.85,Good,Low
STU00130,23,Female,CIVIL,4th Year,5.0,7.4,6.1,Low,5,3,4,4,6,2.6,Average,97.8,8.3,Average,Medium
STU00131,22,Female,Cyber,2nd Year,6.0,5.7,5.0,High,7,5,8,7,3,0.9,Poor,81.5,7.44,Average,Medium
STU00132,22,Male,CIVIL,1st Year,3.0,5.9,8.0,High,7,5,7,1,4,0.5,Poor,82.5,7.21,Good,High
STU00133,18,Male,CSE,1st Year,6.5,5.9,4.5,High,7,7,7,5,2,0.6,Poor,76.5,6.92,Poor,High
STU00134,22,Female,CSE,2nd Year,2.8,6.5,5.7,High,8,6,5,9,6,0.3,Poor,74.0,8.01,Average,Low
STU00135,24,Female,AIDS,4th Year,6.0,8.7,2.7,Low,4,3,5,5,6,1.3,Average,92.0,8.03,Average,Low
STU00136,20,Male,AIDS,2nd Year,4.4,7.3,9.2,High,10,7,8,7,3,1.0,Average,83.2,7.27,Good,Medium
STU00137,22,Male,AIDS,1st Year,5.7,7.7,4.9,Medium,6,5,6,1,6,1.6,Poor,69.1,7.3,Poor,Medium
STU00138,18,Male,CSE,1st Year,3.2,7.2,5.8,Low,4,1,4,1,7,1.7,Good,83.5,8.15,Average,Low
STU00139,20,Male,AIDS,1st Year,4.0,5.9,5.5,Medium,5,5,5,8,4,1.2,Poor,90.3,8.05,Good,High
STU00140,21,Female,AIML,4th Year,5.5,6.5,4.5,Low,5,4,4,5,6,2.1,Average,96.8,8.3,Poor,Low
STU00141,25,Male,AIML,3rd Year,6.6,6.4,6.7,Medium,7,5,8,6,5,0.8,Poor,83.8,7.35,Average,Medium
STU00142,19,Female,CSE,3rd Year,6.6,6.5,5.7,Low,3,3,3,4,8,2.0,Good,76.2,8.58,Good,Low
STU00143,20,Female,CIVIL,2nd Year,2.7,7.6,5.2,Low,3,4,2,3,7,1.2,Good,78.0,7.68,Good,Low
STU00144,21,Female,CSE,4th Year,2.2,7.7,5.1,Low,5,6,3,2,8,2.2,Average,80.7,7.9,Poor,Low
STU00145,25,Male,AIDS,2nd Year,3.6,6.4,7.3,High,9,8,9,2,7,0.9,Poor,85.9,7.36,Good,High
STU00146,24,Male,ECE,4th Year,3.3,6.7,8.6,High,8,7,5,6,4,1.5,Poor,72.4,6.52,Good,Low
STU00147,18,Female,AIDS,4th Year,7.4,6.0,3.2,Low,2,3,1,4,7,1.4,Good,97.9,9.77,Average,Low
STU00148,19,Female,ECE,2nd Year,7.8,7.3,4.0,High,10,7,8,9,4,1.1,Poor,70.9,7.89,Good,High
STU00149,24,Male,AIDS,4th Year,3.5,4.6,5.0,High,9,8,9,8,4,1.3,Poor,80.2,7.55,Good,High
STU00150,18,Female,CSE,2nd Year,7.8,7.3,2.8,Low,7,2,6,1,8,0.8,Good,79.8,8.55,Good,Medium
STU00151,24,Male,CSE,3rd Year,6.7,8.7,2.0,Low,1,2,1,1,10,3.0,Good,91.8,9.94,Average,Low
STU00152,20,Female,ECE,1st Year,2.0,7.2,4.0,Low,7,2,9,3,10,0.8,Average,73.3,8.33,Good,Low
STU00153,25,Male,AIML,2nd Year,3.4,5.0,6.2,High,7,8,8,6,2,1.2,Poor,88.5,7.78,Good,High
STU00154,20,Male,CSE,1st Year,2.4,4.9,7.0,High,10,8,9,7,3,1.9,Poor,69.3,6.83,Average,Medium
STU00155,21,Male,CSE,1st Year,4.6,7.5,4.7,Low,3,4,2,2,10,2.3,Average,73.5,7.76,Good,Low
STU00156,23,Male,AIML,1st Year,5.5,6.3,5.8,High,10,7,10,1,3,0.1,Poor,61.1,6.25,Good,High
STU00157,19,Male,CSE,2nd Year,4.5,7.0,4.5,High,1,1,1,4,10,2.2,Good,91.3,8.41,Good,High
STU00158,22,Male,CSE,3rd Year,1.3,7.4,5.6,Medium,6,4,5,4,8,2.3,Average,80.0,8.18,Good,Medium
STU00159,22,Male,CIVIL,2nd Year,2.3,5.7,6.9,Medium,4,4,2,1,9,1.2,Poor,89.1,8.32,Average,Medium
STU00160,24,Female,AIML,2nd Year,5.8,6.7,7.3,High,7,5,8,7,7,0.9,Poor,74.9,7.91,Poor,High
STU00161,25,Male,CIVIL,4th Year,6.4,5.3,5.9,High,9,8,10,7,5,0.8,Poor,85.5,7.38,Average,High
STU00162,23,Female,CIVIL,4th Year,1.6,6.3,7.8,High,10,4,7,4,2,1.5,Poor,74.6,7.71,Average,High
STU00163,21,Female,CSE,1st Year,2.4,7.5,4.3,Medium,4,2,4,2,7,1.1,Average,96.3,8.76,Average,Low
STU00164,21,Male,ECE,2nd Year,7.1,7.4,7.0,Medium,6,4,9,7,8,1.5,Poor,70.5,6.44,Good,High
STU00165,21,Male,ECE,3rd Year,2.9,6.7,6.6,High,8,7,6,5,3,1.0,Average,67.7,7.7,Good,High
STU00166,24,Female,ECE,3rd Year,4.6,7.2,3.5,Low,1,2,4,1,10,2.1,Average,82.9,9.52,Average,Low
STU00167,20,Female,CSE,2nd Year,2.1,8.3,3.5,Low,3,2,1,6,6,2.1,Average,82.3,8.2,Good,Low
STU00168,19,Male,CSE,3rd Year,6.8,8.2,6.0,High,9,9,8,5,3,1.5,Poor,67.4,6.19,Average,Medium
STU00169,20,Female,CSE,1st Year,1.3,7.6,3.9,Medium,6,4,5,5,8,1.6,Poor,86.1,7.38,Average,High
STU00170,18,Male,ECE,2nd Year,4.1,7.5,2.0,Medium,6,4,3,4,8,2.7,Average,85.7,7.27,Poor,Medium
STU00171,18,Male,CIVIL,3rd Year,6.6,6.2,4.1,Low,3,4,1,2,6,2.1,Average,84.1,7.73,Average,Low
STU00172,18,Female,ECE,3rd Year,6.2,6.0,5.8,High,7,5,6,5,4,0.9,Poor,84.6,7.23,Average,High
STU00173,24,Male,ECE,4th Year,4.1,7.5,6.5,Medium,7,7,3,8,3,2.3,Average,68.9,8.28,Good,Medium
STU00174,23,Female,CIVIL,1st Year,3.4,6.9,4.8,Low,2,5,4,1,10,2.2,Good,93.5,8.82,Good,Low
STU00175,23,Male,ECE,1st Year,5.1,5.8,6.5,High,9,7,10,8,3,0.9,Poor,63.9,7.4,Average,Medium
STU00176,21,Female,CSE,1st Year,2.9,7.5,5.2,High,7,8,9,3,2,1.6,Poor,72.9,8.12,Poor,Low
STU00177,23,Male,AIDS,1st Year,4.7,7.1,4.7,Low,5,5,4,5,7,1.0,Poor,68.4,7.55,Poor,Low
STU00178,19,Male,AIML,1st Year,4.8,6.0,3.7,Medium,3,4,3,5,8,0.8,Average,88.6,8.1,Good,Low
STU00179,25,Male,CSE,2nd Year,4.3,8.6,2.8,Medium,7,6,5,6,5,1.4,Average,66.9,8.84,Good,Low
STU00180,22,Male,Cyber,2nd Year,6.5,9.0,2.2,Low,2,2,6,1,8,1.6,Good,77.5,8.59,Average,Low
STU00181,25,Female,CIVIL,3rd Year,3.2,7.1,7.3,Low,8,1,5,5,6,2.5,Poor,71.5,7.96,Average,Low
STU00182,19,Male,AIML,2nd Year,1.6,8.7,6.4,Low,3,5,1,1,7,1.5,Good,87.0,7.75,Average,Medium
STU00183,21,Male,Cyber,1st Year,4.0,6.6,6.1,High,8,4,7,4,6,1.5,Poor,81.0,7.65,Good,High
STU00184,23,Male,CSE,3rd Year,4.9,8.1,4.1,Low,4,2,5,1,9,2.0,Good,93.8,7.81,Average,Medium
STU00185,21,Male,CSE,1st Year,4.5,7.0,2.4,Low,3,2,5,1,10,2.6,Average,86.2,9.17,Poor,Low
STU00186,21,Female,CSE,4th Year,5.1,4.7,6.5,High,9,6,10,9,5,0.4,Poor,82.3,6.61,Average,Medium
STU00187,19,Male,AIDS,1st Year,3.0,9.0,6.0,High,7,5,7,6,5,0.6,Average,84.8,8.33,Average,High
STU00188,21,Female,AIDS,3rd Year,3.3,5.4,6.5,Medium,6,5,6,4,7,2.2,Average,73.5,8.01,Average,Medium
STU00189,19,Male,CSE,4th Year,3.6,8.2,4.3,Low,3,1,1,2,10,2.2,Good,85.7,7.57,Poor,Low
STU00190,20,Female,AIML,3rd Year,3.8,7.4,6.2,Low,3,4,4,1,6,2.2,Poor,96.8,8.8,Good,Low
STU00191,23,Male,CSE,3rd Year,7.1,7.0,8.1,High,10,6,7,7,5,1.8,Poor,89.7,7.83,Average,High
STU00192,23,Male,CSE,3rd Year,5.5,6.6,4.8,Medium,8,7,6,5,7,2.0,Average,87.7,7.22,Average,Medium
STU00193,22,Female,Cyber,1st Year,3.5,7.9,6.9,Low,1,1,1,6,10,2.0,Good,99.3,8.82,Average,Low
STU00194,20,Female,ECE,3rd Year,7.0,6.8,2.8,High,9,4,5,7,3,1.1,Poor,84.8,7.54,Average,High
STU00195,25,Female,ECE,4th Year,5.9,7.0,4.5,Medium,5,6,5,5,8,0.3,Average,83.0,7.76,Good,Medium
STU00196,18,Male,AIML,4th Year,2.9,6.1,6.6,High,9,6,10,3,6,0.5,Poor,76.6,7.12,Good,Medium
STU00197,20,Male,Cyber,2nd Year,1.0,7.1,5.3,Medium,3,2,7,6,8,1.8,Average,98.5,7.58,Poor,Low
STU00198,18,Female,CSE,2nd Year,2.1,6.8,2.9,Low,4,1,1,5,9,1.9,Average,88.4,7.81,Good,Low
STU00199,20,Male,CSE,3rd Year,5.8,9.0,3.7,Low,1,2,4,2,8,1.2,Good,88.4,8.74,Good,Medium
STU00200,25,Female,CIVIL,3rd Year,6.3,7.9,7.1,Low,1,2,2,3,7,1.9,Average,73.3,8.38,Good,Low
STU00201,20,Female,AIDS,1st Year,2.2,6.6,5.2,High,7,6,8,8,5,2.0,Poor,67.2,7.57,Average,High
STU00202,25,Female,CIVIL,1st Year,5.5,7.7,2.0,Low,2,1,2,5,8,2.4,Good,100.0,8.69,Average,Low
STU00203,21,Female,CIVIL,1st Year,6.0,6.1,7.0,Medium,6,5,2,6,4,1.0,Average,89.0,8.19,Poor,Low
STU00204,23,Female,ECE,2nd Year,7.9,6.8,7.6,High,9,9,9,10,7,1.7,Poor,73.9,7.18,Good,High
STU00205,21,Male,CIVIL,1st Year,6.7,6.7,6.6,Medium,7,2,6,6,6,1.1,Poor,82.6,7.59,Good,Medium
STU00206,20,Male,AIML,1st Year,7.7,6.9,6.3,Medium,8,4,8,9,5,2.0,Average,67.1,8.6,Average,Medium
